date,is_droplet,status,placed_gmv,delivered_gmv,cancelled_gmv,completed_gmv
2020-12-05,N,cancelled,1.11455448E8,0.0,2.57843316E8,2.57843316E8
2023-10-13,Y,cancelled,4.24285662E8,0.0,4.33334525E8,4.33334525E8
2020-01-16,N,cancelled,1.2255033E7,0.0,1.548816E7,1.548816E7
2023-04-27,Y,cancelled,3.8450979E8,0.0,4.18087494E8,4.18087494E8
2022-02-12,Y,cancelled,1.8691759E8,0.0,1.80848294E8,1.80848294E8
2021-07-13,N,cancelled,1.0885125E7,0.0,1.1802827E7,1.1802827E7
2022-04-21,Y,cancelled,1.98723242E8,0.0,2.02430664E8,2.02430664E8
2020-11-03,Y,cancelled,6.5261904E7,0.0,6.7135959E7,6.7135959E7
2020-12-30,Y,cancelled,9.2278788E7,0.0,9.0796714E7,9.0796714E7
2020-10-28,Y,cancelled,4.7474886E7,0.0,4.8706146E7,4.8706146E7
2022-04-16,N,conducted,4595094.0,3702300.0,0.0,3702300.0
2021-05-13,N,conducted,7406036.0,7681059.0,0.0,7681059.0
2021-05-11,N,cancelled,3.0118954E7,0.0,8.7144012E7,8.7144012E7
2024-05-02,Y,cancelled,3.878199E8,0.0,3.99509502E8,3.99509502E8
2020-12-13,N,cancelled,2.4994125E7,0.0,2.675138E7,2.675138E7
2020-02-01,N,cancelled,1.356234E7,0.0,9737436.0,9737436.0
2020-02-08,N,cancelled,1.0070928E7,0.0,1.0613664E7,1.0613664E7
2021-03-06,Y,cancelled,1.3182624E8,0.0,1.31068228E8,1.31068228E8
2021-06-18,N,cancelled,2668932.0,0.0,4151868.0,4151868.0
2024-03-23,N,conducted,8023412.0,9139920.0,0.0,9139920.0
2023-10-01,N,conducted,2547240.0,3369408.0,0.0,3369408.0
2024-03-17,N,cancelled,4.95261E7,0.0,4.5946973E7,4.5946973E7
2023-10-31,N,cancelled,2.909844E7,0.0,2.8313744E7,2.8313744E7
2024-03-15,N,cancelled,4.9274918E7,0.0,4.308045E7,4.308045E7
2023-07-16,N,conducted,4153325.0,4779992.0,0.0,4779992.0
2020-05-06,N,conducted,1139860.0,1165806.0,0.0,1165806.0
2020-07-22,N,conducted,2627680.0,3013324.0,0.0,3013324.0
2020-10-14,N,delivered,1523625.0,1560832.0,0.0,1560832.0
2022-02-10,N,cancelled,9240366.0,0.0,1.1073095E7,1.1073095E7
2021-05-15,N,conducted,6764968.0,6125176.0,0.0,6125176.0
2021-06-23,N,conducted,6333282.0,5006330.0,0.0,5006330.0
2021-05-09,N,conducted,7594224.0,7081542.0,0.0,7081542.0
2022-04-06,N,conducted,3018200.0,3314480.0,0.0,3314480.0
2021-06-18,N,delivered,"",720.0,0.0,720.0
2022-03-03,N,delivered,"",840.0,0.0,840.0
2025-04-28,Y,report_hold,13659.0,"","",""
2024-12-06,Y,report_hold,20494.0,"","",""
2025-02-04,Y,report_hold,10968.0,"","",""
2025-01-28,Y,recollection_required,1355.0,"","",""
2024-12-31,N,booked,899.0,"","",""
2025-03-12,Y,report_hold,10525.0,"","",""
2024-09-16,N,booked,80.0,"","",""
2025-05-13,Y,report_hold,14428.0,"","",""
2025-03-28,Y,recollection_required,7808.0,"","",""
2025-04-23,N,confirmed,1218.0,"","",""
2024-09-05,Y,report_hold,18122.0,"","",""
2025-04-06,Y,confirmed,1018.0,"","",""
2020-01-07,Y,delivered,2.0019324E9,1.89397036E9,0.0,1.89397036E9
2022-09-20,Y,delivered,3.68467152E10,3.6349228575E10,0.0,3.6349228575E10
